datetime,magnitude,depth_km,site_id
2026-03-30 10:32:43.129345,0.36,0.27,praid
2026-03-30 19:20:19.421966,0.16,0.12,praid
2026-03-31 13:09:11.059656,0.08,0.14,praid
2026-04-01 09:35:41.877222,0.12,0.31,praid
2026-04-02 01:53:34.188756,0.03,0.54,praid
2026-04-03 14:09:58.947792,0.1,0.55,praid
2026-04-04 07:15:59.708658,0.12,0.26,praid
2026-04-04 07:55:45.662058,0.16,0.73,praid
2026-04-04 18:53:00.799607,0.13,0.23,praid
2026-04-05 09:57:56.345613,0.12,0.5,praid
2026-04-06 12:43:29.125389,0.72,0.14,praid
2026-04-07 05:46:54.674666,0.45,0.61,praid
2026-04-08 04:38:39.921552,0.03,0.24,praid
2026-04-08 12:15:27.812812,0.08,0.63,praid
2026-04-08 19:11:40.931941,0.0,0.7,praid
2026-04-09 09:39:29.553949,1.47,0.3,praid
2026-04-09 16:28:06.934207,0.16,0.16,praid
2026-04-10 00:29:18.293103,1.26,0.66,praid
2026-04-10 05:42:29.195028,1.66,0.25,praid
2026-04-11 10:29:37.195047,0.31,0.13,praid
2026-04-11 22:59:48.796842,0.34,0.65,praid
2026-04-12 06:27:39.333896,0.34,0.35,praid
2026-04-12 17:46:13.572157,1.17,0.3,praid
2026-04-13 04:44:00.242771,0.39,0.16,praid
2026-04-13 07:24:29.999731,0.15,0.33,praid
2026-04-14 12:04:10.765461,0.5,0.72,praid
2026-04-16 03:45:25.746429,0.63,0.37,praid
2026-04-17 07:00:25.081604,0.24,0.19,praid
2026-04-17 13:57:06.445362,0.34,0.45,praid
2026-04-17 16:45:51.595977,0.3,0.45,praid
2026-04-17 16:57:40.980348,0.06,0.23,praid
2026-04-17 20:32:17.243924,0.32,0.19,praid
2026-04-19 05:06:03.963331,0.32,0.31,praid
2026-04-19 06:55:15.464329,0.72,0.72,praid
2026-04-19 07:49:24.790140,0.71,0.68,praid
2026-04-19 09:44:16.914411,0.18,0.29,praid
2026-04-20 06:20:46.516742,0.22,0.68,praid
2026-04-20 13:51:36.401479,0.29,0.37,praid
2026-04-21 04:04:07.693412,0.11,0.25,praid
2026-04-21 13:07:46.295828,0.76,0.68,praid
2026-04-21 21:02:39.752325,0.04,0.22,praid
2026-04-22 01:30:36.600637,0.55,0.56,praid
2026-04-22 01:39:25.541847,0.51,0.62,praid
2026-04-22 21:55:29.807944,0.53,0.41,praid
2026-04-23 00:02:59.236670,0.13,0.73,praid
2026-04-23 15:27:31.025068,0.03,0.46,praid
2026-04-24 00:43:02.439152,0.23,0.6,praid
2026-04-24 06:46:59.158479,0.63,0.5,praid
2026-04-24 09:25:33.551974,0.37,0.21,praid
2026-04-24 11:02:57.879021,0.06,0.54,praid
2026-04-24 17:42:58.290463,0.17,0.56,praid
2026-04-24 20:00:13.001113,0.13,0.34,praid
2026-04-25 02:31:48.530751,1.58,0.59,praid
2026-04-25 04:11:48.850890,0.88,0.34,praid
2026-04-25 04:57:33.828402,0.06,0.41,praid
2026-04-25 05:50:31.137269,0.65,0.14,praid
2026-04-25 18:05:38.754094,0.22,0.56,praid
2026-04-26 03:06:43.921582,0.84,0.32,praid
2026-04-26 12:37:01.180046,0.83,0.43,praid
2026-04-26 23:22:11.160988,0.29,0.38,praid
2026-04-27 00:16:24.050575,0.05,0.44,praid
2026-04-27 06:26:46.734676,1.33,0.67,praid
2026-04-29 03:49:32.979569,0.9,0.26,praid
2026-04-29 13:00:45.721640,0.38,0.47,praid
2026-04-29 22:34:05.670516,0.26,0.55,praid
2026-04-30 06:56:17.372586,0.55,0.68,praid
2026-04-30 10:52:48.650881,0.16,0.38,praid
2026-04-30 18:09:06.587002,0.41,0.31,praid
2026-04-30 18:17:14.703843,2.06,0.26,praid
2026-04-30 19:49:39.450128,1.6,0.65,praid
2026-05-01 12:44:25.108529,0.22,0.27,praid
2026-05-01 13:08:08.255205,0.15,0.38,praid
2026-05-01 16:55:50.762849,0.25,0.67,praid
2026-05-02 00:40:29.258517,0.31,0.47,praid
2026-05-02 00:48:55.043107,0.86,0.43,praid
2026-05-02 12:44:32.095635,0.04,0.49,praid
2026-05-02 13:11:59.596344,0.06,0.49,praid
2026-05-02 13:46:37.725112,1.25,0.49,praid
2026-05-03 01:07:09.328496,1.44,0.2,praid
2026-05-03 03:31:09.532637,0.32,0.16,praid
2026-05-03 04:06:49.590529,0.01,0.69,praid
2026-05-03 04:31:46.005608,0.41,0.25,praid
2026-05-03 08:00:29.551314,0.53,0.14,praid
2026-05-03 09:02:17.987832,0.65,0.47,praid
2026-05-03 12:45:44.057152,0.52,0.37,praid
2026-05-03 15:09:21.566117,0.13,0.41,praid
2026-05-03 16:53:15.431470,0.31,0.61,praid
2026-05-03 17:46:48.881313,0.77,0.4,praid
2026-05-03 19:50:59.775756,0.18,0.42,praid
2026-05-04 00:23:07.368887,0.11,0.2,praid
2026-05-04 02:05:05.736002,0.03,0.41,praid
2026-05-04 03:17:39.038988,0.37,0.55,praid
2026-05-04 11:03:48.465469,0.34,0.48,praid
2026-05-04 11:10:35.844420,0.02,0.15,praid
2026-05-04 22:37:14.653015,0.85,0.47,praid
2026-05-05 01:03:47.549376,1.25,0.23,praid
2026-05-05 05:58:52.630903,0.17,0.18,praid
2026-05-05 09:36:11.092696,0.26,0.49,praid
2026-05-05 15:57:45.193374,1.49,0.38,praid
2026-05-05 17:09:54.712895,0.65,0.62,praid
2026-05-06 00:59:17.773568,0.06,0.27,praid
2026-05-06 03:58:42.032082,0.01,0.64,praid
2026-05-06 07:39:42.764235,0.55,0.69,praid
2026-05-06 07:48:35.701339,0.93,0.71,praid
2026-05-06 09:40:16.689439,0.51,0.23,praid
2026-05-06 13:43:58.577302,0.23,0.5,praid
2026-05-06 15:29:20.934053,0.53,0.3,praid
2026-05-06 19:06:12.108433,0.1,0.65,praid
2026-05-06 23:00:32.549878,0.11,0.47,praid
2026-05-07 11:53:02.190156,0.32,0.46,praid
2026-05-07 21:34:43.491697,0.03,0.11,praid
2026-05-08 03:11:23.137679,1.08,0.41,praid
2026-05-08 03:24:43.351378,0.77,0.2,praid
2026-05-08 04:43:11.522069,0.46,0.48,praid
2026-05-08 16:11:47.893835,0.16,0.48,praid
2026-05-08 22:57:44.427774,0.29,0.31,praid
2026-05-09 00:49:33.160786,0.43,0.25,praid
2026-05-10 00:43:37.842199,0.23,0.38,praid
2026-05-10 02:40:43.958454,0.52,0.41,praid
2026-05-10 11:56:57.086100,0.19,0.33,praid
2026-05-10 12:23:01.193750,0.69,0.3,praid
2026-05-10 16:10:46.974455,1.66,0.54,praid
2026-05-10 17:09:16.696547,1.03,0.7,praid
2026-05-10 18:44:09.152293,1.4,0.39,praid
2026-05-10 20:39:11.557512,0.76,0.47,praid
2026-05-10 21:12:14.528544,1.21,0.64,praid
2026-05-11 02:04:23.310429,0.97,0.36,praid
2026-05-12 00:49:00.402179,0.29,0.58,praid
2026-05-12 05:09:37.982201,0.09,0.24,praid
2026-05-12 11:16:20.684130,0.2,0.62,praid
2026-05-12 16:25:35.085709,0.28,0.55,praid
2026-05-13 05:45:03.278587,1.3,0.26,praid
2026-05-13 09:11:45.145133,1.24,0.61,praid
2026-05-13 10:09:54.517185,0.06,0.43,praid
2026-05-13 18:35:36.441560,0.56,0.21,praid
2026-05-13 20:15:44.952594,0.24,0.42,praid
2026-05-13 23:39:39.953415,2.1,0.55,praid
2026-05-14 01:40:12.618791,0.2,0.53,praid
2026-05-14 12:32:31.362214,0.21,0.37,praid
2026-05-14 16:53:40.860467,0.67,0.7,praid
2026-05-14 18:36:24.892955,0.69,0.72,praid
