date,water_inflow_l_per_min,site_id
2026-04-03,12.0,margina_holdea_t2
2026-04-04,12.7,margina_holdea_t2
2026-04-05,11.8,margina_holdea_t2
2026-04-06,14.5,margina_holdea_t2
2026-04-07,11.9,margina_holdea_t2
2026-04-08,12.2,margina_holdea_t2
2026-04-09,13.8,margina_holdea_t2
2026-04-10,10.8,margina_holdea_t2
2026-04-11,13.6,margina_holdea_t2
2026-04-12,12.9,margina_holdea_t2
2026-04-13,12.2,margina_holdea_t2
2026-04-14,12.0,margina_holdea_t2
2026-04-15,11.3,margina_holdea_t2
2026-04-16,11.1,margina_holdea_t2
2026-04-17,11.9,margina_holdea_t2
2026-04-18,16.4,margina_holdea_t2
2026-04-19,14.6,margina_holdea_t2
2026-04-20,15.3,margina_holdea_t2
2026-04-21,16.3,margina_holdea_t2
2026-04-22,18.5,margina_holdea_t2
2026-04-23,17.7,margina_holdea_t2
2026-04-24,18.8,margina_holdea_t2
2026-04-25,19.7,margina_holdea_t2
2026-04-26,19.0,margina_holdea_t2
2026-04-27,20.5,margina_holdea_t2
2026-04-28,20.7,margina_holdea_t2
2026-04-29,21.2,margina_holdea_t2
2026-04-30,23.8,margina_holdea_t2
2026-05-01,22.8,margina_holdea_t2
2026-05-02,22.7,margina_holdea_t2
2026-05-03,22.5,margina_holdea_t2
2026-05-04,24.4,margina_holdea_t2
2026-05-05,25.0,margina_holdea_t2
2026-05-06,24.4,margina_holdea_t2
2026-05-07,27.3,margina_holdea_t2
2026-05-08,29.0,margina_holdea_t2
2026-05-09,28.1,margina_holdea_t2
2026-05-10,28.6,margina_holdea_t2
2026-05-11,29.5,margina_holdea_t2
2026-05-12,30.7,margina_holdea_t2
2026-05-13,32.9,margina_holdea_t2
2026-05-14,32.6,margina_holdea_t2
2026-05-15,31.0,margina_holdea_t2
