date,pgv_mm_per_s,site_id
2026-01-22,0.15,meses_a3
2026-01-23,0.1,meses_a3
2026-01-24,0.2,meses_a3
2026-01-25,0.17,meses_a3
2026-01-26,0.2,meses_a3
2026-01-27,0.7,meses_a3
2026-01-28,0.04,meses_a3
2026-01-29,0.48,meses_a3
2026-01-30,0.63,meses_a3
2026-01-31,0.1,meses_a3
2026-02-01,0.23,meses_a3
2026-02-02,0.08,meses_a3
2026-02-03,0.27,meses_a3
2026-02-04,0.09,meses_a3
2026-02-05,0.44,meses_a3
2026-02-06,0.92,meses_a3
2026-02-07,0.41,meses_a3
2026-02-08,0.02,meses_a3
2026-02-09,0.01,meses_a3
2026-02-10,0.0,meses_a3
2026-02-11,0.17,meses_a3
2026-02-12,0.19,meses_a3
2026-02-13,2.34,meses_a3
2026-02-14,0.39,meses_a3
2026-02-15,0.43,meses_a3
2026-02-16,0.11,meses_a3
2026-02-17,0.06,meses_a3
2026-02-18,0.45,meses_a3
2026-02-19,0.09,meses_a3
2026-02-20,0.16,meses_a3
2026-02-21,0.0,meses_a3
2026-02-22,0.33,meses_a3
2026-02-23,0.12,meses_a3
2026-02-24,0.34,meses_a3
2026-02-25,0.36,meses_a3
2026-02-26,0.1,meses_a3
2026-02-27,0.56,meses_a3
2026-02-28,0.62,meses_a3
2026-03-01,0.67,meses_a3
2026-03-02,0.04,meses_a3
2026-03-03,0.49,meses_a3
2026-03-04,0.09,meses_a3
2026-03-05,0.38,meses_a3
2026-03-06,0.5,meses_a3
2026-03-07,0.63,meses_a3
2026-03-08,0.19,meses_a3
2026-03-09,0.11,meses_a3
2026-03-10,0.07,meses_a3
2026-03-11,0.07,meses_a3
2026-03-12,0.2,meses_a3
2026-03-13,1.02,meses_a3
2026-03-14,0.04,meses_a3
2026-03-15,0.03,meses_a3
2026-03-16,0.05,meses_a3
2026-03-17,0.0,meses_a3
2026-03-18,0.04,meses_a3
2026-03-19,0.03,meses_a3
2026-03-20,0.35,meses_a3
2026-03-21,2.18,meses_a3
2026-03-22,0.04,meses_a3
2026-03-23,0.19,meses_a3
2026-03-24,0.25,meses_a3
2026-03-25,0.16,meses_a3
2026-03-26,0.79,meses_a3
2026-03-27,0.18,meses_a3
2026-03-28,0.37,meses_a3
2026-03-29,0.3,meses_a3
2026-03-30,0.24,meses_a3
2026-03-31,0.47,meses_a3
2026-04-01,0.63,meses_a3
2026-04-02,0.23,meses_a3
2026-04-03,0.01,meses_a3
2026-04-04,0.01,meses_a3
2026-04-05,0.0,meses_a3
2026-04-06,0.1,meses_a3
2026-04-07,0.45,meses_a3
2026-04-08,0.38,meses_a3
2026-04-09,0.05,meses_a3
2026-04-10,0.02,meses_a3
2026-04-11,0.01,meses_a3
2026-04-12,0.08,meses_a3
2026-04-13,0.06,meses_a3
2026-04-14,0.05,meses_a3
2026-04-15,0.08,meses_a3
2026-04-16,0.67,meses_a3
2026-04-17,0.41,meses_a3
2026-04-18,0.09,meses_a3
2026-04-19,0.82,meses_a3
2026-04-20,0.48,meses_a3
2026-04-21,1.38,meses_a3
2026-04-22,0.12,meses_a3
2026-04-23,0.58,meses_a3
2026-04-24,0.23,meses_a3
2026-04-25,0.03,meses_a3
2026-04-26,0.47,meses_a3
2026-04-27,0.15,meses_a3
2026-04-28,0.01,meses_a3
2026-04-29,0.75,meses_a3
2026-04-30,0.01,meses_a3
2026-05-01,0.31,meses_a3
2026-05-02,0.01,meses_a3
2026-05-03,0.24,meses_a3
2026-05-04,0.94,meses_a3
2026-05-05,0.09,meses_a3
2026-05-06,0.16,meses_a3
2026-05-07,0.08,meses_a3
2026-05-08,0.1,meses_a3
2026-05-09,0.52,meses_a3
2026-05-10,0.67,meses_a3
2026-05-11,0.24,meses_a3
2026-05-12,0.08,meses_a3
2026-05-13,0.04,meses_a3
2026-05-14,0.03,meses_a3
2026-05-15,0.41,meses_a3
