date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2025-12-29,-0.267,margina_holdea_t1,-8.54
2025-12-30,-0.139,margina_holdea_t1,-8.68
2025-12-31,-0.134,margina_holdea_t1,-8.81
2026-01-01,-0.157,margina_holdea_t1,-8.97
2026-01-02,-0.088,margina_holdea_t1,-9.06
2026-01-03,-0.277,margina_holdea_t1,-9.33
2026-01-04,-0.274,margina_holdea_t1,-9.61
2026-01-05,-0.064,margina_holdea_t1,-9.67
2026-01-06,-0.261,margina_holdea_t1,-9.93
2026-01-07,-0.172,margina_holdea_t1,-10.1
2026-01-08,-0.275,margina_holdea_t1,-10.38
2026-01-09,-0.215,margina_holdea_t1,-10.59
2026-01-10,-0.217,margina_holdea_t1,-10.81
2026-01-11,-0.254,margina_holdea_t1,-11.06
2026-01-12,-0.202,margina_holdea_t1,-11.27
2026-01-13,-0.237,margina_holdea_t1,-11.5
2026-01-14,-0.229,margina_holdea_t1,-11.73
2026-01-15,-0.082,margina_holdea_t1,-11.81
2026-01-16,-0.145,margina_holdea_t1,-11.96
2026-01-17,-0.112,margina_holdea_t1,-12.07
2026-01-18,-0.314,margina_holdea_t1,-12.39
2026-01-19,-0.203,margina_holdea_t1,-12.59
2026-01-20,-0.12,margina_holdea_t1,-12.71
2026-01-21,-0.086,margina_holdea_t1,-12.79
2026-01-22,-0.087,margina_holdea_t1,-12.88
2026-01-23,-0.315,margina_holdea_t1,-13.2
2026-01-24,-0.127,margina_holdea_t1,-13.32
2026-01-25,-0.199,margina_holdea_t1,-13.52
2026-01-26,-0.147,margina_holdea_t1,-13.67
2026-01-27,-0.252,margina_holdea_t1,-13.92
2026-01-28,-0.236,margina_holdea_t1,-14.16
2026-01-29,-0.14,margina_holdea_t1,-14.3
2026-01-30,-0.188,margina_holdea_t1,-14.49
2026-01-31,-0.169,margina_holdea_t1,-14.65
2026-02-01,0.004,margina_holdea_t1,-14.65
2026-02-02,-0.178,margina_holdea_t1,-14.83
2026-02-03,-0.315,margina_holdea_t1,-15.14
2026-02-04,-0.28,margina_holdea_t1,-15.42
2026-02-05,-0.147,margina_holdea_t1,-15.57
2026-02-06,-0.317,margina_holdea_t1,-15.89
2026-02-07,-0.278,margina_holdea_t1,-16.17
2026-02-08,-0.15,margina_holdea_t1,-16.32
2026-02-09,-0.124,margina_holdea_t1,-16.44
2026-02-10,-0.249,margina_holdea_t1,-16.69
2026-02-11,-0.24,margina_holdea_t1,-16.93
2026-02-12,-0.238,margina_holdea_t1,-17.17
2026-02-13,-0.22,margina_holdea_t1,-17.39
2026-02-14,-0.279,margina_holdea_t1,-17.67
2026-02-15,-0.04,margina_holdea_t1,-17.71
2026-02-16,-0.18,margina_holdea_t1,-17.89
2026-02-17,-0.262,margina_holdea_t1,-18.15
2026-02-18,-0.245,margina_holdea_t1,-18.39
2026-02-19,-0.128,margina_holdea_t1,-18.52
2026-02-20,-0.356,margina_holdea_t1,-18.88
2026-02-21,-0.185,margina_holdea_t1,-19.06
2026-02-22,-0.188,margina_holdea_t1,-19.25
2026-02-23,-0.153,margina_holdea_t1,-19.4
2026-02-24,-0.219,margina_holdea_t1,-19.62
2026-02-25,-0.131,margina_holdea_t1,-19.75
2026-02-26,-0.342,margina_holdea_t1,-20.09
2026-02-27,-0.094,margina_holdea_t1,-20.19
2026-02-28,-0.16,margina_holdea_t1,-20.35
2026-03-01,-0.162,margina_holdea_t1,-20.51
2026-03-02,-0.282,margina_holdea_t1,-20.79
2026-03-03,-0.224,margina_holdea_t1,-21.02
2026-03-04,-0.273,margina_holdea_t1,-21.29
2026-03-05,-0.171,margina_holdea_t1,-21.46
2026-03-06,-0.26,margina_holdea_t1,-21.72
2026-03-07,-0.124,margina_holdea_t1,-21.84
2026-03-08,-0.308,margina_holdea_t1,-22.15
2026-03-09,-0.171,margina_holdea_t1,-22.32
2026-03-10,-0.193,margina_holdea_t1,-22.52
2026-03-11,-0.194,margina_holdea_t1,-22.71
2026-03-12,-0.269,margina_holdea_t1,-22.98
2026-03-13,-0.132,margina_holdea_t1,-23.11
2026-03-14,-0.099,margina_holdea_t1,-23.21
2026-03-15,-0.088,margina_holdea_t1,-23.3
2026-03-16,-0.034,margina_holdea_t1,-23.33
2026-03-17,-0.285,margina_holdea_t1,-23.62
2026-03-18,-0.116,margina_holdea_t1,-23.73
2026-03-19,-0.112,margina_holdea_t1,-23.85
2026-03-20,-0.21,margina_holdea_t1,-24.06
2026-03-21,-0.306,margina_holdea_t1,-24.36
2026-03-22,-0.258,margina_holdea_t1,-24.62
2026-03-23,-0.253,margina_holdea_t1,-24.87
2026-03-24,-0.05,margina_holdea_t1,-24.92
2026-03-25,-0.2,margina_holdea_t1,-25.12
2026-03-26,-0.207,margina_holdea_t1,-25.33
2026-03-27,-0.335,margina_holdea_t1,-25.66
2026-03-28,-0.315,margina_holdea_t1,-25.98
2026-03-29,-0.214,margina_holdea_t1,-26.19
2026-03-30,-0.192,margina_holdea_t1,-26.39
2026-03-31,-0.229,margina_holdea_t1,-26.61
2026-04-01,-0.134,margina_holdea_t1,-26.75
2026-04-02,-0.083,margina_holdea_t1,-26.83
2026-04-03,-0.16,margina_holdea_t1,-26.99
2026-04-04,-0.06,margina_holdea_t1,-27.05
2026-04-05,-0.182,margina_holdea_t1,-27.23
2026-04-06,-0.201,margina_holdea_t1,-27.43
2026-04-07,-0.309,margina_holdea_t1,-27.74
2026-04-08,-0.442,margina_holdea_t1,-28.19
2026-04-09,-0.184,margina_holdea_t1,-28.37
2026-04-10,-0.175,margina_holdea_t1,-28.54
2026-04-11,-0.135,margina_holdea_t1,-28.68
2026-04-12,-0.096,margina_holdea_t1,-28.78
2026-04-13,-0.133,margina_holdea_t1,-28.91
2026-04-14,-0.197,margina_holdea_t1,-29.11
2026-04-15,-0.236,margina_holdea_t1,-29.34
2026-04-16,-0.159,margina_holdea_t1,-29.5
2026-04-17,-0.127,margina_holdea_t1,-29.63
2026-04-18,-0.073,margina_holdea_t1,-29.7
2026-04-19,-0.109,margina_holdea_t1,-29.81
2026-04-20,-0.163,margina_holdea_t1,-29.97
2026-04-21,-0.187,margina_holdea_t1,-30.16
2026-04-22,-0.157,margina_holdea_t1,-30.32
2026-04-23,-0.24,margina_holdea_t1,-30.56
2026-04-24,-0.253,margina_holdea_t1,-30.81
2026-04-25,-0.124,margina_holdea_t1,-30.93
2026-04-26,-0.12,margina_holdea_t1,-31.05
2026-04-27,-0.265,margina_holdea_t1,-31.32
2026-04-28,-0.229,margina_holdea_t1,-31.55
2026-04-29,-0.217,margina_holdea_t1,-31.76
2026-04-30,-0.106,margina_holdea_t1,-31.87
2026-05-01,-0.103,margina_holdea_t1,-31.97
2026-05-02,-0.355,margina_holdea_t1,-32.33
2026-05-03,-0.069,margina_holdea_t1,-32.4
2026-05-04,-0.299,margina_holdea_t1,-32.7
2026-05-05,-0.114,margina_holdea_t1,-32.81
2026-05-06,-0.198,margina_holdea_t1,-33.01
2026-05-07,-0.367,margina_holdea_t1,-33.38
2026-05-08,-0.345,margina_holdea_t1,-33.72
2026-05-09,-0.233,margina_holdea_t1,-33.95
2026-05-10,-0.103,margina_holdea_t1,-34.06
2026-05-11,-0.123,margina_holdea_t1,-34.18
2026-05-12,-0.245,margina_holdea_t1,-34.42
2026-05-13,-0.181,margina_holdea_t1,-34.61
2026-05-14,-0.06,margina_holdea_t1,-34.67
2026-05-15,-0.167,margina_holdea_t1,-34.83
